Emp_ID,First_Name,Last_Name,Gender,Marital_Status,Date_of_Birth,Age,Blood_Group,Hire_Date,Job Duration,Previous_Experience,Organizational_Level,Business_Unit,Contract_Type,Employee_Type,Employee_Status,Salary,Monthly_Working_Hour,Work_Accident,Job_Id,Performance_ID,Job_Satisfaction_ID,Location_ID,Department_ID,Race_ID,Education_ID,Applicant ID,Age Group,Recruitment Process,Job_Nature
1007,Ari,Anthony,Female,Divorced,8/11/1985 0:00,38,B-,2/2/2014 0:00,9,0,High Level,Unit-9,Permanent,Temporary,Active,22000,118,Yes,4,4,3,7,5,1,2,1512,31-40,RP,New
1008,Laylah,Branch,Female,Single,3/12/1990 0:00,33,A+,11/1/2019 0:00,5,0,Mid Level,Unit-10,Contract,Full-Time,Active,125000,142,Yes,6,2,3,7,3,4,3,1944,21-30,RP,New
1008,Laylah,Branch,Female,Single,3/12/1990 0:00,33,A+,11/1/2019 0:00,5,3,Mid Level,Unit-10,Contract,Full-Time,Active,125000,142,Yes,6,2,3,7,3,4,3,1944,21-30,RP,New
1009,Alanna,Mullins,Female,Widowed,5/11/1980 0:00,43,A+,14-08-11 0:00,12,2,High Level,Unit-6,Contract,Temporary,Terminated,38000,151,Yes,7,2,1,1,3,5,3,1949,31-40,RP,New
1009,Alanna,Mullins,Female,Widowed,5/11/1980 0:00,43,A+,14-08-11 0:00,12,3,High Level,Unit-6,Contract,Temporary,Terminated,38000,151,Yes,7,2,1,1,3,5,3,1949,31-40,RP,New
1010,Arjun,Tyler,Male,Married,11/1/1980 0:00,44,B-,4/1/2020 0:00,4,0,High Level,Unit-7,Contract,Full-Time,Active,22000,167,No,4,5,1,9,4,2,4,1493,>50,RP,New
1010,Arjun,Tyler,Male,Married,11/1/1980 0:00,44,B-,4/1/2020 0:00,4,0,High Level,Unit-7,Contract,Full-Time,Active,22000,167,No,4,5,1,9,4,2,4,1493,>50,RP,New
1011,Donald,Favis,Male,Single,16-08-84 0:00,39,B+,22-12-08 0:00,15,6,Operational,Unit-3,Contract,Part-Time,Active,14000,200,No,8,3,2,12,1,3,1,2012,31-40,RP,New
1011,Donald,Favis,Male,Single,16-08-84 0:00,39,B+,22-12-08 0:00,15,2,Operational,Unit-3,Contract,Part-Time,Active,14000,200,No,8,3,2,12,1,3,1,2012,31-40,RP,New
1012,Daniff,Hernandez,Male,Married,25-02-85 0:00,38,B+,9/10/2017 0:00,6,0,Mid Level,Unit-5,Permanent,Part-Time,Active,14000,157,Yes,8,5,2,9,2,5,1,2019,31-40,RP,New
1012,Daniff,Hernandez,Male,Married,25-02-85 0:00,38,B+,9/10/2017 0:00,6,5,Mid Level,Unit-5,Permanent,Part-Time,Active,14000,157,Yes,8,5,2,9,2,5,1,2019,31-40,RP,New
1013,Lori,Roby,Female,Single,16-10-73 0:00,50,A-,9/9/2011 0:00,12,5,Operational,Unit-1,Permanent,Temporary,Active,18000,190,No,5,3,4,11,5,1,1,1301,31-40,RP,New
1013,Lori,Roby,Female,Single,16-10-73 0:00,50,A-,9/9/2011 0:00,12,1,Operational,Unit-1,Permanent,Temporary,Active,18000,190,No,5,3,4,11,5,1,1,1301,31-40,RP,New
1014,Thomas,Murray,Male,Single,12/4/1983 0:00,40,O-,6/12/2018 0:00,5,0,Operational,Unit-7,Permanent,Temporary,Active,18000,119,Yes,5,3,5,5,3,2,1,2034,31-40,RP,New
1014,Thomas,Murray,Male,Single,12/4/1983 0:00,40,O-,6/12/2018 0:00,5,5,Operational,Unit-7,Permanent,Temporary,Active,18000,119,Yes,5,3,5,5,3,2,1,2034,31-40,RP,Replacement
1015,Karthikeyan,Ait Sidi,Male,Single,25-12-94 0:00,29,B+,24-05-08 0:00,15,3,Operational,Unit-9,Contract,Full-Time,Active,22000,168,No,4,5,4,12,4,5,2,2083,31-40,RP,New
1015,Karthikeyan,Ait Sidi,Male,Single,25-12-94 0:00,29,B+,24-05-08 0:00,15,5,Operational,Unit-9,Contract,Full-Time,Active,22000,168,No,4,5,4,12,4,5,2,2083,31-40,RP,New
1016,Ivan,Rogers,Male,Married,21-04-68 0:00,55,A+,21-10-05 0:00,18,6,High Level,Unit-9,Contract,Full-Time,Terminated,60000,103,Yes,9,4,5,11,3,1,3,1642,>50,RP,New
1016,Ivan,Rogers,Male,Married,21-04-68 0:00,55,A+,21-10-05 0:00,18,1,High Level,Unit-9,Contract,Full-Time,Terminated,60000,103,Yes,9,4,5,11,3,1,3,1642,>50,RP,Replacement
1017,Bianca,Roehrich,Female,Divorced,29-03-91 0:00,32,AB-,18-12-13 0:00,10,0,Mid Level,Unit-9,Contract,Full-Time,Active,23000,178,No,3,4,5,5,3,2,3,2100,31-40,RP,New
1017,Bianca,Roehrich,Female,Divorced,29-03-91 0:00,32,AB-,18-12-13 0:00,10,1,Mid Level,Unit-9,Contract,Full-Time,Active,23000,178,No,3,4,5,5,3,2,3,2100,31-40,RP,New
1018,Jason,Salter,Male,Married,29-04-66 0:00,57,O-,21-10-08 0:00,15,10,Operational,Unit-6,Contract,Full-Time,Active,15000,176,Yes,10,4,3,2,4,5,1,2111,21-30,RP,New
1018,Jason,Salter,Male,Married,29-04-66 0:00,57,O-,21-10-08 0:00,15,0,Operational,Unit-6,Contract,Full-Time,Active,15000,176,Yes,10,4,3,2,4,5,1,2111,21-30,RP,Replacement
1019,Julia,Zhou,Female,Single,28-03-91 0:00,32,A-,14-04-19 0:00,4,1,Operational,Unit-8,Permanent,Temporary,Active,100000,136,Yes,11,5,4,6,4,5,3,1608,41-50,RP,New
1019,Julia,Zhou,Female,Single,28-03-91 0:00,32,A-,14-04-19 0:00,4,7,Operational,Unit-8,Permanent,Temporary,Active,100000,136,Yes,11,5,4,6,4,5,3,1608,41-50,RP,New
1020,Thelma,Petrowsky,Female,Widowed,1/1/1988 0:00,36,B-,26-11-19 0:00,4,2,Mid Level,Unit-2,Contract,Full-Time,Volunterily Resigned,18000,101,Yes,12,1,5,5,1,3,2,2117,31-40,RP,Replacement
1020,Thelma,Petrowsky,Female,Widowed,1/1/1988 0:00,36,B-,26-11-19 0:00,4,6,Mid Level,Unit-2,Contract,Full-Time,Volunterily Resigned,18000,101,Yes,12,1,5,5,1,3,2,2117,31-40,RP,New
1021,Jayne,Horton,Female,Divorced,1/9/1968 0:00,55,B-,23-11-05 0:00,18,10,High Level,Unit-6,Permanent,Part-Time,Active,18000,194,No,5,1,4,10,3,4,3,2121,31-40,RP,New
1021,Jayne,Horton,Female,Divorced,1/9/1968 0:00,55,B-,23-11-05 0:00,18,6,High Level,Unit-6,Permanent,Part-Time,Active,18000,194,No,5,1,4,10,3,4,3,2121,31-40,RP,New
1022,Renee,Becker,Female,Widowed,3/4/1977 0:00,46,B+,27-12-05 0:00,18,4,High Level,Unit-3,Contract,Part-Time,Active,14000,199,No,8,4,4,3,3,3,1,1696,41-50,RP,Replacement
1022,Renee,Becker,Female,Widowed,3/4/1977 0:00,46,B+,27-12-05 0:00,18,0,High Level,Unit-3,Contract,Part-Time,Active,14000,199,No,8,4,4,3,3,3,1,1696,41-50,RP,New
1023,Randall,Pearson,Male,Divorced,13-07-72 0:00,51,A+,13-02-06 0:00,17,5,Operational,Unit-1,Permanent,Temporary,Terminated,20000,181,Yes,13,2,4,12,4,1,1,2127,31-40,RP,New
1023,Randall,Pearson,Male,Divorced,13-07-72 0:00,51,A+,13-02-06 0:00,17,2,Operational,Unit-1,Permanent,Temporary,Terminated,20000,181,Yes,13,2,4,12,4,1,1,2127,31-40,RP,New
1024,Claudia N,Carr,Female,Divorced,19-04-76 0:00,47,B+,14-06-15 0:00,8,5,Mid Level,Unit-6,Contract,Temporary,Active,200000,173,Yes,14,2,5,3,3,2,4,2128,31-40,RP,New
1024,Claudia N,Carr,Female,Divorced,19-04-76 0:00,47,B+,14-06-15 0:00,8,3,Mid Level,Unit-6,Contract,Temporary,Active,200000,173,Yes,14,2,5,3,3,2,4,2128,31-40,RP,Replacement
1025,Noelle,Johnson,Female,Widowed,3/7/1968 0:00,55,B+,17-12-07 0:00,16,14,Mid Level,Unit-9,Contract,Full-Time,Active,20000,162,Yes,13,2,5,6,2,3,1,1995,41-50,RP,New
1025,Noelle,Johnson,Female,Widowed,3/7/1968 0:00,55,B+,17-12-07 0:00,16,1,Mid Level,Unit-9,Contract,Full-Time,Active,20000,162,Yes,13,2,5,6,2,3,1,1995,41-50,RP,New
1026,Taisha,Goble,Female,Widowed,9/12/1965 0:00,58,O-,14-10-18 0:00,5,2,Mid Level,Unit-1,Contract,Temporary,Active,18000,151,No,15,1,1,2,3,5,1,2150,31-40,RP,New
1026,Taisha,Goble,Female,Widowed,9/12/1965 0:00,58,O-,14-10-18 0:00,5,1,Mid Level,Unit-1,Contract,Temporary,Active,18000,151,No,15,1,1,2,3,5,1,2150,31-40,RP,Replacement
1027,Kramer,Simard,Male,Divorced,1/3/1978 0:00,45,B-,2/1/2006 0:00,18,11,Mid Level,Unit-3,Permanent,Temporary,Active,23000,180,No,3,2,4,10,6,1,2,2170,21-30,RP,New
1027,Kramer,Simard,Male,Divorced,1/3/1978 0:00,45,B-,2/1/2006 0:00,18,3,Mid Level,Unit-3,Permanent,Temporary,Active,23000,180,No,3,2,4,10,6,1,2,2170,21-30,RP,New
1028,Mark,Griffith,Female,Widowed,1/12/1991 0:00,32,A-,7/12/2007 0:00,16,12,High Level,Unit-8,Permanent,Full-Time,Active,23000,157,Yes,3,5,1,3,1,2,2,1610,31-40,RP,Replacement
1028,Mark,Griffith,Female,Widowed,1/12/1991 0:00,32,A-,7/12/2007 0:00,16,2,High Level,Unit-8,Permanent,Full-Time,Active,23000,157,Yes,3,5,1,3,1,2,2,1610,31-40,RP,Replacement
1029,Denisse,Hayes,Female,Single,1/9/1986 0:00,37,AB+,21-07-08 0:00,15,7,Mid Level,Unit-1,Permanent,Full-Time,Active,22000,127,Yes,4,1,3,12,6,2,3,2190,31-40,RP,Replacement
1029,Denisse,Hayes,Female,Single,1/9/1986 0:00,37,AB+,21-07-08 0:00,15,5,Mid Level,Unit-1,Permanent,Full-Time,Active,22000,127,Yes,4,1,3,12,6,2,3,2190,31-40,RP,Replacement
1030,Draven,Giles,Female,Single,2/8/1988 0:00,35,A-,12/12/2013 0:00,10,2,Mid Level,Unit-2,Permanent,Full-Time,Active,23000,174,Yes,3,2,3,11,3,4,3,2197,21-30,RP,Replacement
1030,Draven,Giles,Female,Single,2/8/1988 0:00,35,A-,12/12/2013 0:00,10,2,Mid Level,Unit-2,Permanent,Full-Time,Active,23000,174,Yes,3,2,3,11,3,4,3,2197,21-30,RP,Replacement
1031,Aliana,Shaw,Female,Widowed,19-10-76 0:00,47,AB-,17-12-13 0:00,10,2,High Level,Unit-10,Permanent,Full-Time,Active,90000,148,Yes,16,5,2,5,3,5,4,2049,21-30,RP,Replacement
1031,Aliana,Shaw,Female,Widowed,19-10-76 0:00,47,AB-,17-12-13 0:00,10,3,High Level,Unit-10,Permanent,Full-Time,Active,90000,148,Yes,16,5,2,5,3,5,4,2049,21-30,RP,New
1032,Makaila,Nixon,Female,Single,26-07-69 0:00,54,AB-,21-07-20 0:00,3,2,Mid Level,Unit-5,Permanent,Temporary,Active,90000,180,Yes,16,1,3,10,3,1,3,2205,31-40,RP,New
1032,Makaila,Nixon,Female,Single,26-07-69 0:00,54,AB-,21-07-20 0:00,3,1,Mid Level,Unit-5,Permanent,Temporary,Active,90000,180,Yes,16,1,3,10,3,1,3,2205,31-40,RP,New
1033,Mohammed,Orr,Female,Married,11/12/1969 0:00,54,B+,22-03-10 0:00,13,5,Mid Level,Unit-6,Permanent,Full-Time,Volunterily Resigned,18000,129,No,5,2,4,3,5,1,3,2210,31-40,RP,Replacement
1033,Mohammed,Orr,Female,Married,11/12/1969 0:00,54,B+,22-03-10 0:00,13,0,Mid Level,Unit-6,Permanent,Full-Time,Volunterily Resigned,18000,129,No,5,2,4,3,5,1,3,2210,31-40,RP,New
1034,Braylen,Mendoza,Male,Widowed,6/5/1980 0:00,43,B-,14-02-08 0:00,15,6,Operational,Unit-8,Contract,Full-Time,Active,12000,145,No,17,3,1,11,5,3,1,2254,41-50,RP,New
1034,Braylen,Mendoza,Male,Widowed,6/5/1980 0:00,43,B-,14-02-08 0:00,15,4,Operational,Unit-8,Contract,Full-Time,Active,12000,145,No,17,3,1,11,5,3,1,2254,41-50,RP,New
1035,Andreas,Torres,Male,Widowed,18-12-92 0:00,31,A-,4/10/2008 0:00,15,9,Mid Level,Unit-10,Contract,Temporary,Active,25000,161,No,18,3,5,5,3,3,4,2215,31-40,RP,Replacement
1035,Andreas,Torres,Male,Widowed,18-12-92 0:00,31,A-,4/10/2008 0:00,15,1,Mid Level,Unit-10,Contract,Temporary,Active,25000,161,No,18,3,5,5,3,3,4,2215,31-40,RP,New
1036,Maddison,Perez,Male,Divorced,7/7/1970 0:00,53,B+,5/2/2011 0:00,12,4,High Level,Unit-2,Contract,Full-Time,Active,45000,188,No,19,2,3,4,4,3,3,2256,21-30,RP,New
1036,Maddison,Perez,Male,Divorced,7/7/1970 0:00,53,B+,5/2/2011 0:00,12,2,High Level,Unit-2,Contract,Full-Time,Active,45000,188,No,19,2,3,4,4,3,3,2256,21-30,RP,New
1037,Charlize,Wagner,Female,Single,22-03-84 0:00,39,A+,1/2/2018 0:00,5,1,Operational,Unit-9,Contract,Part-Time,Active,23000,187,Yes,3,5,1,9,1,5,2,1682,41-50,RP,New
1037,Charlize,Wagner,Female,Single,22-03-84 0:00,39,A+,1/2/2018 0:00,5,1,Operational,Unit-9,Contract,Part-Time,Active,23000,187,Yes,3,5,1,9,1,5,2,1682,41-50,RP,New
1038,Micah,Pace,Female,Widowed,7/9/1973 0:00,50,B-,17-05-14 0:00,9,0,Operational,Unit-10,Permanent,Temporary,Active,14000,106,No,8,3,5,9,4,4,1,2260,21-30,RP,New
1038,Micah,Pace,Female,Widowed,7/9/1973 0:00,50,B-,17-05-14 0:00,9,1,Operational,Unit-10,Permanent,Temporary,Active,14000,106,No,8,3,5,9,4,4,1,2260,21-30,RP,Replacement
1039,Marlee,Stevens,Male,Married,8/10/1988 0:00,35,B+,5/8/2020 0:00,3,0,Operational,Unit-1,Permanent,Temporary,Active,38000,158,Yes,7,4,4,12,6,1,4,2262,31-40,RP,Replacement
1039,Marlee,Stevens,Male,Married,8/10/1988 0:00,35,B+,5/8/2020 0:00,3,4,Operational,Unit-1,Permanent,Temporary,Active,38000,158,Yes,7,4,4,12,6,1,4,2262,31-40,RP,Replacement
1040,Precious,Roth,Female,Married,4/8/1980 0:00,43,B+,12/12/2016 0:00,7,0,Operational,Unit-10,Contract,Full-Time,Active,12000,123,No,17,2,1,4,2,1,1,1601,>50,RP,Replacement
1040,Precious,Roth,Female,Married,4/8/1980 0:00,43,B+,12/12/2016 0:00,7,2,Operational,Unit-10,Contract,Full-Time,Active,12000,123,No,17,2,1,4,2,1,1,1601,>50,RP,Replacement
1041,Konner,Villegas,Female,Married,28-11-95 0:00,28,O-,23-12-10 0:00,13,8,Mid Level,Unit-8,Contract,Temporary,Volunterily Resigned,25000,172,No,18,1,1,9,3,5,4,2268,31-40,RP,Replacement
1041,Konner,Villegas,Female,Married,28-11-95 0:00,28,O-,23-12-10 0:00,13,2,Mid Level,Unit-8,Contract,Temporary,Volunterily Resigned,25000,172,No,18,1,1,9,3,5,4,2268,31-40,RP,Replacement
1042,Anastasia,Gillespie,Female,Widowed,13-12-75 0:00,48,B-,29-08-16 0:00,7,1,Operational,Unit-8,Permanent,Temporary,Active,170000,159,Yes,1,5,1,4,2,5,4,2319,21-30,RP,Replacement
1042,Anastasia,Gillespie,Female,Widowed,13-12-75 0:00,48,B-,29-08-16 0:00,7,0,Operational,Unit-8,Permanent,Temporary,Active,170000,159,Yes,1,5,1,4,2,5,4,2319,21-30,RP,Replacement
1043,Emely,Rice,Female,Divorced,9/4/1982 0:00,41,B-,3/4/2016 0:00,7,0,Mid Level,Unit-8,Contract,Full-Time,Active,14000,166,Yes,8,5,5,1,3,2,2,1558,31-40,RP,Replacement
1043,Emely,Rice,Female,Divorced,9/4/1982 0:00,41,B-,3/4/2016 0:00,7,0,Mid Level,Unit-8,Contract,Full-Time,Active,14000,166,Yes,8,5,5,1,3,2,2,1558,31-40,RP,Replacement
1044,Lewis,Nixon,Female,Divorced,22-05-69 0:00,54,B-,24-10-12 0:00,11,1,Operational,Unit-1,Permanent,Part-Time,Active,37000,136,No,20,5,5,12,1,2,4,2324,21-30,RP,New
1044,Lewis,Nixon,Female,Divorced,22-05-69 0:00,54,B-,24-10-12 0:00,11,1,Operational,Unit-1,Permanent,Part-Time,Active,37000,136,No,20,5,5,12,1,2,4,2324,21-30,RP,Replacement
1045,Macy,Webster,Female,Divorced,16-01-92 0:00,32,O+,14-10-18 0:00,5,2,High Level,Unit-1,Permanent,Full-Time,Active,23000,161,No,3,1,1,1,3,2,2,2331,21-30,RP,Replacement
1045,Macy,Webster,Female,Divorced,16-01-92 0:00,32,O+,14-10-18 0:00,5,1,High Level,Unit-1,Permanent,Full-Time,Active,23000,161,No,3,1,1,1,3,2,2,2331,21-30,RP,Replacement
1046,Ciara,Acevedo,Female,Widowed,12/6/1994 0:00,29,O-,30-05-17 0:00,6,0,High Level,Unit-3,Contract,Part-Time,Active,14000,131,No,8,2,1,8,2,2,1,2265,21-30,RP,Replacement
1046,Ciara,Acevedo,Female,Widowed,12/6/1994 0:00,29,O-,30-05-17 0:00,6,2,High Level,Unit-3,Contract,Part-Time,Active,14000,131,No,8,2,1,8,2,2,1,2265,21-30,RP,Replacement
1047,Eleanor,Patton,Female,Divorced,3/12/1983 0:00,40,A+,4/10/2010 0:00,13,5,Operational,Unit-10,Permanent,Full-Time,Terminated,14000,135,Yes,8,5,1,12,3,2,1,2359,21-30,RP,Replacement
1047,Eleanor,Patton,Female,Divorced,3/12/1983 0:00,40,A+,4/10/2010 0:00,13,0,Operational,Unit-10,Permanent,Full-Time,Terminated,14000,135,Yes,8,5,1,12,3,2,1,2359,21-30,RP,Replacement
1048,Brooklyn,Tanner,Female,Widowed,28-06-82 0:00,41,A+,21-04-20 0:00,3,0,Operational,Unit-6,Permanent,Full-Time,Active,14000,161,Yes,8,4,3,12,4,2,1,2363,31-40,RP,New
1048,Brooklyn,Tanner,Female,Widowed,28-06-82 0:00,41,A+,21-04-20 0:00,3,1,Operational,Unit-6,Permanent,Full-Time,Active,14000,161,Yes,8,4,3,12,4,2,1,2363,31-40,RP,Replacement
1049,Zander,Franco,Male,Divorced,16-02-80 0:00,43,AB+,22-06-15 0:00,8,1,Operational,Unit-5,Contract,Part-Time,Active,23000,140,Yes,3,1,4,2,4,5,4,1566,41-50,RP,Replacement
1049,Zander,Franco,Male,Divorced,16-02-80 0:00,43,AB+,22-06-15 0:00,8,0,Operational,Unit-5,Contract,Part-Time,Active,23000,140,Yes,3,1,4,2,4,5,4,1566,41-50,RP,Replacement
1050,Kianna,Rhodes,Male,Married,10/6/1968 0:00,55,AB-,14-11-16 0:00,7,0,High Level,Unit-5,Permanent,Part-Time,Active,14000,114,Yes,8,2,3,7,1,2,1,2365,31-40,RP,Replacement
1050,Kianna,Rhodes,Male,Married,10/6/1968 0:00,55,AB-,14-11-16 0:00,7,2,High Level,Unit-5,Permanent,Part-Time,Active,14000,114,Yes,8,2,3,7,1,2,1,2365,31-40,RP,New
1051,Kinsley,Braun,Female,Widowed,29-11-68 0:00,55,A-,8/9/2006 0:00,17,3,Operational,Unit-6,Contract,Part-Time,Active,15000,116,Yes,10,4,5,11,3,1,2,2369,31-40,RP,Replacement
1051,Kinsley,Braun,Female,Widowed,29-11-68 0:00,55,A-,8/9/2006 0:00,17,1,Operational,Unit-6,Contract,Part-Time,Active,15000,116,Yes,10,4,5,11,3,1,2,2369,31-40,RP,New
1052,Gordon,Wu,Female,Single,14-02-84 0:00,39,B-,2/11/2011 0:00,12,1,High Level,Unit-5,Permanent,Full-Time,Volunterily Resigned,22000,137,No,4,1,1,8,3,2,2,2354,31-40,RP,New
1052,Gordon,Wu,Female,Single,14-02-84 0:00,39,B-,2/11/2011 0:00,12,1,High Level,Unit-5,Permanent,Full-Time,Volunterily Resigned,22000,137,No,4,1,1,8,3,2,2,2354,31-40,RP,New
1053,Maryjane,Cross,Male,Single,21-04-77 0:00,46,A+,25-04-11 0:00,12,2,Operational,Unit-3,Contract,Temporary,Terminated,37000,149,Yes,20,2,4,12,2,4,3,2374,31-40,RP,New
1053,Maryjane,Cross,Male,Single,21-04-77 0:00,46,A+,25-04-11 0:00,12,0,Operational,Unit-3,Contract,Temporary,Terminated,37000,149,Yes,20,2,4,12,2,4,3,2374,31-40,RP,New
1054,Peyton,Phelps,Female,Married,20-01-76 0:00,48,O-,25-03-18 0:00,5,2,High Level,Unit-8,Contract,Part-Time,Active,23000,124,Yes,3,5,3,4,2,4,3,2386,31-40,RP,New
1054,Peyton,Phelps,Female,Married,20-01-76 0:00,48,O-,25-03-18 0:00,5,1,High Level,Unit-8,Contract,Part-Time,Active,23000,124,Yes,3,5,3,4,2,4,3,2386,31-40,RP,New
1055,Carmen,Atkins,Female,Married,10/7/1985 0:00,38,AB-,20-02-09 0:00,14,1,High Level,Unit-1,Permanent,Part-Time,Volunterily Resigned,23000,117,Yes,3,4,4,7,2,3,4,2358,31-40,RP,New
1055,Carmen,Atkins,Female,Married,10/7/1985 0:00,38,AB-,20-02-09 0:00,14,3,High Level,Unit-1,Permanent,Part-Time,Volunterily Resigned,23000,117,Yes,3,4,4,7,2,3,4,2358,31-40,RP,New
1056,Kiara,Fox,Female,Divorced,22-10-69 0:00,54,A+,21-04-08 0:00,15,2,Mid Level,Unit-8,Permanent,Temporary,Active,18000,102,No,15,5,1,4,2,5,1,2408,21-30,RP,New
1056,Kiara,Fox,Female,Divorced,22-10-69 0:00,54,A+,21-04-08 0:00,15,0,Mid Level,Unit-8,Permanent,Temporary,Active,18000,102,No,15,5,1,4,2,5,1,2408,21-30,RP,New
1057,Yair,Jennings,Female,Divorced,11/7/1994 0:00,29,B+,13-09-10 0:00,13,0,Mid Level,Unit-1,Contract,Temporary,Active,38000,124,Yes,7,5,3,1,3,1,3,2413,31-40,RP,New
1057,Yair,Jennings,Female,Divorced,11/7/1994 0:00,29,B+,13-09-10 0:00,13,1,Mid Level,Unit-1,Contract,Temporary,Active,38000,124,Yes,7,5,3,1,3,1,3,2413,31-40,RP,New
1058,Kaylie,Velazquez,Female,Married,28-08-80 0:00,43,A+,27-04-13 0:00,10,1,Operational,Unit-7,Permanent,Temporary,Active,23000,105,No,3,1,5,7,5,2,4,2406,31-40,RP,New
1058,Kaylie,Velazquez,Female,Married,28-08-80 0:00,43,A+,27-04-13 0:00,10,0,Operational,Unit-7,Permanent,Temporary,Active,23000,105,No,3,1,5,7,5,2,4,2406,31-40,RP,New
1059,Christine,Skinner,Female,Married,8/1/1972 0:00,52,AB-,13-09-15 0:00,8,1,Mid Level,Unit-10,Permanent,Part-Time,Active,125000,172,Yes,6,2,3,5,3,5,4,2414,31-40,RP,Replacement
1059,Christine,Skinner,Female,Married,8/1/1972 0:00,52,AB-,13-09-15 0:00,8,0,Mid Level,Unit-10,Permanent,Part-Time,Active,125000,172,Yes,6,2,3,5,3,5,4,2414,31-40,RP,Replacement
1060,Zayne,Mccullough,Male,Married,21-09-84 0:00,39,AB+,20-12-09 0:00,14,3,Mid Level,Unit-5,Permanent,Part-Time,Active,14000,138,No,8,1,3,7,3,4,1,2420,31-40,RP,Replacement
1060,Zayne,Mccullough,Male,Married,21-09-84 0:00,39,AB+,20-12-09 0:00,14,2,Mid Level,Unit-5,Permanent,Part-Time,Active,14000,138,No,8,1,3,7,3,4,1,2420,31-40,RP,Replacement
1061,Dennis,Key,Female,Divorced,17-03-74 0:00,49,A-,16-08-08 0:00,15,1,Mid Level,Unit-10,Contract,Part-Time,Active,22000,156,No,4,4,5,1,2,3,3,1392,31-40,RP,Replacement
1061,Dennis,Key,Female,Divorced,17-03-74 0:00,49,A-,16-08-08 0:00,15,0,Mid Level,Unit-10,Contract,Part-Time,Active,22000,156,No,4,4,5,1,2,3,3,1392,31-40,RP,Replacement
1062,Aydan,Benjamin,Male,Widowed,22-02-87 0:00,36,AB+,11/5/2010 0:00,13,0,Mid Level,Unit-9,Permanent,Full-Time,Active,90000,177,Yes,16,3,4,8,4,4,2,2469,21-30,RP,Replacement
